Name|Type|eWeaponVar|Purpose|Notes
``npc_damage_very_far_distance``|``float``|True|The distance at which the very far damage value is reached for NPCs. Optional.|
``npc_damage_very_far_value``|``float``|True|Damage dealt to non-heavily armored targets at or past ``npc_damage_ver_far_distance`` for NPCs. Optional.|
``npc_damage_very_far_value_titanarmor``|``float``|True|Damage dealt to heavily armored targets at or past ``npc_damage_ver_far_distance``. Optional.|"For each ``npc_damage`` value, if it is unused, the corresponding player value is applied instead."
``npc_dangerous_to_heavy_armor``|``bool``|True|Unknown.|
``npc_dangerous_to_normal_armor``|``bool``|True|Unknown.|
``npc_directed_fire_ang_limit_cos``|``float``|True|Unknown.|
``npc_explosion_damage``|``int``|True|Maximum explosion damage dealt to non-heavily armored targets for NPCs. Optional.|
``npc_explosion_damage_heavy_armor``|``int``|True|Maximum explosion damage dealt to heavily armored targets for NPCs. Optional.|"For each ``npc_explosion_damage`` value, if it is unused, the corresponding player value is applied instead."
``npc_fire_at_enemy_defense_time``|``float``|True|The time in seconds that an NPC will fire at a defensive before holding their shots.|
``npc_full_auto_vs_heavy_armor``|``bool``|True|Unknown.|
``npc_lead_time_max_dist``|``float``|True|Unknown.|
``npc_lead_time_min_dist``|``float``|True|Unknown.|
``npc_lead_time_scale``|``float``|True|Unknown.|
``npc_max_burst``|``int``|True|The maximum number of shots an NPC will fire in a burst. Weapon need not be a burst weapon.|
``npc_max_engage_range``|``float``|True|The maximum range within which an NPC will move towards a non-heavily armored target.|
``npc_max_engage_range_heavy_armor``|``float``|True|The maximum range within which an NPC will move towards a heavily armored target.|
``npc_max_range``|``float``|True|The maximum range within which an NPC will attack a target.|
``npc_max_range_secondary``|``float``|True|Unknown.|
``npc_min_burst``|``int``|True|The minimum number of shots an NPC will fire in a burst. Weapon need not be a burst weapon.|
``npc_min_engage_range``|``float``|True|The range within which an NPC will stop moving towards a non-heavily armored target.|
``npc_min_engage_range_heavy_armor``|``float``|True|The range within which an NPC will stop moving towards a heavily armored target.|
``npc_min_range``|``float``|True|The minimum range before an NPC will attack a target.|
``npc_min_range_secondary``|``float``|True|Unknown.|
``npc_miss_fast_player``|``bool``|True|Unknown.|
``npc_pre_fire_delay``|``float``|True|Time in seconds before an NPC can fire the weapon once a target is chosen.|
``npc_pre_fire_delay_interval``|``float``|True|Time in seconds before ``npc_pre_fire_delay`` triggers again.|
``npc_reload_enabled``|``bool``|True|Allows NPCs to reload the weapon. Optional.|"If unused, ``reload_enabled`` is applied instead."
``npc_rest_time_between_bursts_expedite``|``float``|True|Time in seconds before an NPC will fire another burst if staggered during rest time.|
``npc_rest_time_between_bursts_max``|``float``|True|Maximum time in seconds before an NPC will fire another burst.|
``npc_rest_time_between_bursts_min``|``float``|True|Minimum time in seconds before an NPC will fire another burst. |
``npc_rest_time_secondary``|``float``|True|Unknown.|
``npc_self_explosion_safety``|``bool``|True|Unknown.|
``npc_spread_cone_focus_time``|``float``|True|Unknown.|
``npc_spread_defocused_cone_multiplier``|``float``|True|Unknown.|
``npc_spread_pattern_focus_time``|``float``|True|Unknown.|
``npc_spread_pattern_not_in_fov_factor``|``float``|True|Unknown.|
``npc_spread_pattern_not_in_fov_time``|``float``|True|Unknown.|
``npc_suppress_lsp_allowed``|``bool``|True|Unknown.|
``npc_titan_ability``|``string``|False|Unknown.|
``npc_use_ads_move_speed_scale``|``bool``|True|Unknown.|
``npc_use_check_type``|``string``|False|Unknown.|
``npc_use_long_duration``|``float``|True|Unknown.|
``npc_use_max_damage``|``float``|True|Maximum amount of damage taken before an NPC will use this weapon.|
``npc_use_min_damage``|``float``|True|Minimum amount of damage taken before an NPC will use this weapon.|
``npc_use_min_projectile_damage``|``float``|True|Minimum amount of damage taken from projectiles before an NPC will use this weapon.|
``npc_use_normal_duration``|``float``|False|Time in seconds that an NPC will use this weapon.|
``npc_use_short_duration``|``float``|True|Unknown.|
``npc_use_strict_muzzle_dir``|``bool``|True|Unknown.|
``npc_vortex_block``|``bool``|True|Unknown.|
``offhand_blocks_sprint``|``bool``|True|Prevents the user from sprinting while this offhand weapon is in use.|
``offhand_default_inventory_slot``|``int``|True|Determines the inventory slot this offhand is inserted into with the ``give`` cheat command.|
``offhand_hold_enabled``|``bool``|True|Enables/disables holding the offhand weapon while it is pressed and attacking on release.|
``offhand_interupts_weapon_anims``|``bool``|True|Enables/disables interrupting any currently active weapon and immediately starting deployment when activating the weapon.|
``offhand_switch_force_draw``|``bool``|True|Unknown.|
``offhand_transition_has_attach_detach_anim_events``|``bool``|True|Unknown.|
``OnClientAnimEvent``|``void functionref( entity weapon, string name )``|False|Unknown. (Client only)|
``OnProjectileCollision``|``void functionref( entity projectile, vector pos, vector normal, entity hitEnt, int hitbox, bool isCritical )``|False|Callback ran when projectiles collide with terrain or entities.|
``OnProjectileIgnite``|``void functionref( entity projectile )``|False|Callback ran when grenades ignite.|
``OnWeaponActivate``|``void functionref( entity weapon )``|False|Callback ran when the weapon becomes active (e.g. when the crosshair becomes visible).|
``OnWeaponAttemptOffhandSwitch``|``bool functionref( entity weapon )``|False|Callback ran when attempting to switch to an offhand weapon. Returns true if successful or false otherwise.|
``OnWeaponChargeBegin``|``bool functionref( entity weapon )``|False|Callback ran when charging begins. Returns true if successful or returns false otherwise and denies the charge.|
``OnWeaponChargeEnd``|``void functionref( entity weapon )``|False|Callback ran when charging ends.|
``OnWeaponChargeLevelIncreased``|``bool functionref( entity weapon )``|False|Callback ran when charge level increases. Returns true. False conditions unknown.|
``OnWeaponCustomActivityStart``|``void functionref( entity weapon )``|False|Unknown.|
``OnWeaponDeactivate``|``void functionref( entity weapon )``|False|Callback ran when the weapon becomes inactive (e.g. when the crosshair disappears)|
``OnWeaponNpcPreAttack``|``void functionref( entity weapon )``|False|Callback ran when an NPC begins the pre-fire delay. (Server only)|
``OnWeaponNpcPrimaryAttack``|``var functionref( entity weapon, WeaponPrimaryAttackParams attackParams )``|False|Callback ran when the weapon attacks from an NPC. Returns ammo cost if successful or 0 if not. (Server only)|
``OnWeaponOwnerChanged``|``void functionref( entity weapon, WeaponOwnerChangedParams changeParams )``|False|Callback ran when the user changes.|
``OnWeaponPrimaryAttack``|``var functionref( entity weapon, WeaponPrimaryAttackParams attackParams )``|False|Callback ran when the weapon attacks. Returns ammo cost if successful or 0 if not.|
``OnWeaponPrimaryAttackAnimEvent``|``var functionref( entity weapon, WeaponPrimaryAttackParams attackParams )``|False|Callback ran at a specific point in the weapon's attack animation. Returns ammo cost if successful or 0 if not.|
``OnWeaponReadyToFire``|``void functionref( entity weapon )``|False|Callback ran when the weapon is ready to fire.|
``OnWeaponReload``|``void functionref( entity weapon, int milestone )``|False|Callback ran when reload begins. Can have a nonzero milestone if reload was previously interrupted.|
``OnWeaponStartZoomIn``|``void functionref( entity weapon )``|False|Callback ran when the user starts aiming down sights.|
``OnWeaponStartZoomOut``|``void functionref( entity weapon )``|False|Callback ran when the user stops aiming down sights.|
``OnWeaponSustainedDischargeBegin``|``bool functionref( entity weapon )``|False|Callback ran when sustained discharge begins. Returns true if successful or returns false otherwise and denies the sustained discharge.|
``OnWeaponSustainedDischargeEnd``|``void functionref( entity weapon )``|False|Callback ran when sustained discharge emds.|
``OnWeaponTossCancelDrop``|``void functionref( entity weapon, WeaponPrimaryAttackParams attackParams )``|False|Callback ran when a toss-able object is dropped by swapping.|
``OnWeaponTossPrep``|``void functionref( entity weapon, WeaponTossPrepParams prepParams )``|False|Callback ran when a toss-able object is pulled out.|
``OnWeaponTossReleaseAnimEvent``|``void functionref( entity weapon, WeaponPrimaryAttackParams attackParams )``|False|Callback ran when a toss-able object is released.|
``OnWeaponVortexHitBullet``|``bool functionref( entity weapon, entity vortexSphere, var damageInfo )``|False|Callback ran when a vortex weapon is hit by a hitscan. Returns true if successful and deletes the bullet or false otherwise.|
``OnWeaponVortexHitProjectile``|``bool functionref( entity weapon, entity vortexSphere, entity attacker, entity projectile, vector contactPos )``|False|Callback ran when a vortex weapon is hit by a projectile. Returns true if successful and deletes the projectile or false otherwise.|
``ordnance_crosshair_always_on_start_index``|``int``|True|The index of a crosshair in the weapon's crosshair list to always have on. Used to show cooldowns as Pilot.|
``pass_through_damage_preserved_scale``|``float``|True|Scalar on damage dealt to following targets after the shot pierces through a target.|
``pass_through_depth``|``float``|True|The total amount of depth a shot can pierce through, inclusive. |
``passive``|``string``|False|Determines what passive to give when the Core weapon starts attacking.|"Only works for ``PAS_FUSION_CORE``, ``PAS_SHIELD_BOOST``, ``PAS_BERSERKER``, ``PAS_SHIFT_CORE``, and ``PAS_SMART_CORE``."
``pickup_hold_prompt``|``string``|False|Unknown.|
``pickup_press_prompt``|``string``|False|Unknown.|
``play_offhand_charging_anim``|``bool``|False|Enables/disables the standard charging animation of an offhand weapon for others.|
``play_offhand_fire_anim``|``bool``|False|Unknown.|
``play_offhand_start_end_anim``|``bool``|False|Unknown.|
``playermodel``|``asset``|True|Model of the weapon shown to others when held.|
``pre_ignition_damage``|``int``|True|Damage dealt to non-heavily armored targets before ignition. (Missiles only)|
``pre_ignition_damage_titanarmor``|``int``|True|Damage dealt to heavily armored targets before ignition. (Missiles only)|
``pre_ignition_flight_sound``|``string``|True|Sound effect played on missiles in flight before ignition. (Missiles only)|
``pre_ignition_impact_effect_table``|``asset``|True|The effect table referenced for collisions before ignition. (Missiles only)|"Includes both visuals and sound effects."
``pre_ignition_npc_damage``|``int``|True|Damage dealt to non-heavily armored targets before ignition for NPCs. Optional. (Missiles only)|"If unusued, ``pre_ignition_damage`` applies instead."
``pre_ignition_npc_damage_titanarmor``|``int``|True|Damage dealt to heavily armored targets before ignition for NPCs. Optional. (Missiles only)|"If unusued, ``pre_ignition_damage_titanarmor`` applies instead."
``pre_ignition_speed``|``float``|True|Speed of the missile before ignition. (Missiles only)|
``pre_ignition_trail_effect``|``string``|True|Trail effect shown on the missile before ignition. (Missiles only)|
``primary_fire_does_not_block_sprint``|``bool``|True|Allows the main weapon to fire while sprinting.|
``printname``|``string``|True|Name displayed on the weapon selection screen in loadout creation.|
``proficiency_average_additional_rest``|``float``|True|Additional rest time between uses for NPCs with average proficiency.|
``proficiency_average_bias``|``float``|True|Unknown.|
``proficiency_average_spreadscale``|``float``|True|Scalar on spread for NPCs with average proficiency.|"Additional values exist for ``poor``, ``good``, ``very_good``, and ``perfect`` proficiencies."
``projectile_airburst_on_death``|``bool``|True|Unknown.|
``projectile_adjust_to_gun_barrel``|``bool``|False|Adjusts projectiles to visually launch from the weapon's barrel.|
``projectile_chasecamDistanceMax``|``float``|True|Unknown.|
``projectile_chasecamMaxOrbitDepth``|``float``|True|Unknown.|
``projectile_chasecamMaxPitchUp``|``float``|True|Unknown.|
``projectile_chasecamOffsetForward``|``float``|True|Forward vector offset of the camera from the projectile in killcams following it.|
``projectile_chasecamOffsetRight``|``float``|True|Right vector offset of the camera from the projectile in killcams following it.|
``projectile_chasecamOffsetUp``|``float``|True|Up vector offset of the camera from the projectile in killcams following it.|
``projectile_collide_with_owner``|``bool``|True|Unknown.|
``projectile_collide_with_owner_grace_time``|``float``|True|Unknown.|
``projectile_damage_reduction_per_bounce``|``float``|True|Flat damage reduction per bounce.|"Unaffected by normal damage falloff."
``projectile_damages_owner``|``bool``|True|Enables/disables direct hit damage to the user from projectiles fired.|
``projectile_death_sound``|``string``|True|Unknown.|
``projectile_do_predict_impact_effects``|``bool``|True|Unknown.|
``projectile_drift_intensity``|``float``|True|Unknown.|
``projectile_drift_windiness``|``float``|True|Unknown.|
``projectile_first_person_offset_fraction``|``float``|True|Adjusts how far projectiles fired travel at an offset angle before straightening in first person.  |
``projectile_flight_sound``|``string``|True|Sound effect played on projectiles in flight.|
``projectile_gravity_scale``|``float``|True|Scalar on gravity applied to projectiles.|
``projectile_ignore_owner_damage``|``bool``|False|Enables/disables owner damage to projectiles fired if they can take damage.|
``projectile_ignores_vortex``|``string``|False|Determines the bounce behavior of projectiles upon hitting vortex entities and prevents them from being deleted.|"Held vortexes (i.e. Vortex and Thermal Shield) only check for ``fall_vortex`` and still delete projectiles with other values.

``mirror``: Reverses horizontal velocity. (``< -1, -1, 1 >``)

``drop``: Reverses and reduces horizontal velocity by 75% and sets vertical velocity to 0. (``< -0.25, -0.25, 0 >``)

``fall``, ``fall_vortex``: Reverses and reduces all velocity by 75%. (``< -0.25, -0.25, -0.25 >``)"
``projectile_inherit_owner_velocity_scale``|``float``|True|Scalar on how much of the user's velocity is applied to the projectile when fired.|
``projectile_killreplay_enabled``|``bool``|True|Allows killcams to follow the projectile that dealt the kill.|
``projectile_launch_pitch_offset``|``float``|True|Pitch offset projectiles are fired at (positive = up).|
``projectile_launch_speed``|``float``|True|Base speed of projectiles fired.|
``projectile_lifetime``|``float``|True|The time in seconds projectiles last before disappearing.|
``projectile_max_deployed``|``int``|True|The maximum number of projectiles that this weapon can have existing at once. Only works for weapons with tracked projectiles in script.|
``projectile_ricochet_max_count``|``int``|True|The maximum number of ricochets projectiles can have before disappearing on terrain collision.|
``projectile_speed_reduction_factor``|``float``|True|The fraction of speed lost by projectiles on ricochet.|
``projectile_straight_radius_max``|``float``|True|Unknown.|
``projectile_straight_radius_min``|``float``|True|Unknown.|
``projectile_straight_time_max``|``float``|True|Unknown.|
``projectile_straight_time_min``|``float``|True|Unknown.|
``projectile_trail_effect_0``|``asset``|True|Trail effect shown on projectiles.|"Additional trail effects exist up to ``projectile_trail_effect_4``. "
``projectile_visible_to_smart_ammo``|``bool``|True|Allows projectiles to be targeted by smart weapons.|
``projectiles_per_shot``|``int``|True|Has no native use. Used in script by some weapons to determine the number of projectiles fired per shot.|
``raise_from_sprint_time``|``float``|True|The time in seconds of the weapon's raise animation after sprinting.|"Not the time before firing is allowed. Animations can allow firing sooner at various fractions of the full raise time."
``raise_time``|``float``|True|The time in seconds to raise the weapon when swapping from an offhand weapon.|"Does not include the time to raise the weapon after melee.

Not the time before firing is allowed. Animations can allow firing sooner at various fractions of the full raise time."
``readyhint``|``string``|True|Usage hint text shown to the user in reminders. Used by Cores and inventory offhands (e.g. e-smoke, boosts).|
``readymessage``|``string``|True|Large text shown to the user in reminders. Used by Cores and inventory offhands (e.g. e-smoke, boosts).|
``rechamber_time``|``float``|True|The time in seconds to rechamber another round. Use by bolt-action weapons.|"Rechambering only begins after other delays (e.g. ``fire_rate``, ``burst_fire_delay``) are finished."
``red_crosshair_range``|``float``|True|The range within which the crosshair will turn red when aiming at an enemy.|
``regen_ammo_refill_rate``|``float``|True|The rate in ammo per second at which ammo is regenerated in the magazine.|
``regen_ammo_refill_start_delay``|``float``|True|The time in seconds since last shot fired before ammo regeneration begins.|
``regen_ammo_sound_range_name_1``|``string``|True|Unknown.|
``regen_ammo_sound_range_start_1``|``int``|True|Unknown.|"Additional values exist up to ``regen_ammo_sound_range_[x]_3``."
``regen_ammo_stockpile_drain_rate_when_charging``|``float``|True|Unknown.|
``regen_ammo_stockpile_max_fraction``|``float``|True|Unknown.|
``regen_ammo_while_firing``|``bool``|True|Enables/disables incurring ``regen_ammo_refill_start_delay`` when firing a shot.|
``reload_alt_anim``|``bool``|True|Enables/disables a flag on certain weapons to use an alternate reload animation.|
``reload_enabled``|``bool``|True|Allows the weapon to be reloaded.|
``reload_is_segmented``|``bool``|True|Enables/disables segmented reloads for the weapon.|"Segmented reloads do not have reload milestones."
``reload_no_auto_if_ads_pressed``|``bool``|True|Disables automatic reloads when the magazine is empty while aiming down sights.|
``reload_time``|``float``|True|The time in seconds to complete the reload animation when reloading from a non-empty magazine.|"For segmented reloads, this includes the time to start the reloading animation and load one segment."
``reload_time_late1``|``float``|True|The time in seconds to complete the non-empty reload animation from the first reload milestone.|"Additional values exist for the i-th reload milestone up to ``reload_time_late5``."
``reloadempty_time``|``float``|True|The time in seconds to complete the reload animation when reloading from an empty magazine.|"For segmented reloads, this includes the time to start the reloading animation and reload one segment."
``reloadempty_time_late1``|``float``|True|The time in seconds to complete the empty reload animation from the first reload milestone.|"Additional values exist for the i-th reload milestone up to ``reloadempty_time_late5``."
``reloadsegment_time_end``|``float``|True|The time in seconds to complete the end animation of a segmented non-empty reload.|"The end segment does not prevent any actions and ends on sprint."
``reloadsegment_time_loop``|``float``|True|The time in seconds to complete one segment reload animation.|
``reloadsegmentempty_time_end``|``float``|True|The time in seconds to complete the end animation of a segmented empty reload.|"The end segment does not prevent any actions and ends on sprint."
``rui_crosshair_index``|``int``|True|The index of a crosshair in the weapon's crosshair list to display. |
``rumble``|``int``|False|Unknown.|
``scripted_projectile_max_timestep``|``float``|False|Unknown.|
``shared_energy_charge_cost``|``int``|True|Amount of shared energy consumed per frame (60 times per second) while charging.|
``shared_energy_cost``|``int``|True|Amount of shared energy consumed on attack.|
``shortprintname``|``string``|True|Name displayed for the weapon in most places (e.g. loadout screen, weapon flyouts, pickups).|
``show_grenade_indicator``|``bool``|False|Disables the nearby grenade indicator shown to nearby targets on grenades fired. (Grenades only)|
``show_pre_modded_tracer``|``bool``|True|Unknown.|
``silenced``|``bool``|True|Unknown.|
``smart_ammo_active_shot_damage_multiplier``|``float``|True|Unknown.|
``smart_ammo_active_shot_on_first_lock_only``|``bool``|True|Unknown.|
``smart_ammo_active_shot_time``|``float``|True|Unknown.|
``smart_ammo_alert_npc_fraction``|``float``|True|The fraction of lock on at which NPCs will be alerted of the lock.|
``smart_ammo_allow_ads_lock``|``bool``|True|Enables/disables smart ammo to lock on while aiming down sights.|
``smart_ammo_allow_hip_fire_lock``|``bool``|True|Enables/disables smart ammo to lock on while hipfiring.|
``smart_ammo_allow_search_while_firing``|``bool``|True|Allows smart ammo to lock on while firing.|
``smart_ammo_allow_search_while_inactive``|``bool``|True|Allows smart ammo to lock on while the weapon is not held.|
``smart_ammo_alt_lock_style``|``bool``|True|Enables/disables limiting total locks by charge amount (higher = less locks).|
``smart_ammo_always_do_burst``|``bool``|True|Enables/disables always firing the maximum number of attacks per target.|
``smart_ammo_apply_new_target_delay_to_first_target``|``bool``|True|Unknown.|
``smart_ammo_bounds_search_tick_interval``|``int``|False|Unknown.|
``smart_ammo_draw_acquisition_lines``|``bool``|True|Enables/disables displaying lines to target locks on the HUD.|
``smart_ammo_hold_and_reset_after_all_locks``|``float``|True|Unknown.|
``smart_ammo_hud_lock_style``|``string``|True|Determines the type of lock displayed.|
``smart_ammo_hud_type``|``string``|True|Determines the smart ammo layout displayed on the HUD.|
``smart_ammo_humans_only``|``bool``|False|Enables/disables targeting only humanoids.|
``smart_ammo_lock_effect_1p``|``asset``|True|Visual effect displayed on the weapon to the user while acquiring locks.|
``smart_ammo_lock_effect_3p``|``asset``|True|Visual effect displayed on the weapon to others while acquiring locks.|
``smart_ammo_lock_effect_attachment``|``string``|True|The weapon part to attach the lock visual effect to.|
``smart_ammo_lock_type``|``string``|True|Determines which target types the smart ammo can lock.|"``small``: Non-heavily armored targets.

``large``: Heavily armored targets.

``any``: Any target."
``smart_ammo_looping_sound_acquiring``|``string``|True|Sound effect played while smart ammo is acquiring locks.|
``smart_ammo_looping_sound_locked``|``string``|True|Sound effect played while smart ammo is locked on to a target.|
``smart_ammo_max_targeted_burst``|``int``|True|The maximum burst size fired at any individual target.|
``smart_ammo_max_targets``|``int``|True|The maximum number of targets that can be locked simultaneously.|
``smart_ammo_max_trackers_per_target``|``int``|True|The maximum number of locks per target.|
``smart_ammo_new_target_delay``|``float``|True|Time in seconds before the smart weapon can start acquiring locks.|"Time starts from the moment the weapon is swapped to, even if it can't acquire locks due to deploy/raise time."
``smart_ammo_npc_targets_must_be_tracked``|``bool``|True|Requires targets to be locked for NPCs to fire the weapon.|
``smart_ammo_only_search_on_charge``|``bool``|True|Enables/disables limiting lock acquisition to only while the weapon is charging.|
``smart_ammo_other_targets_must_be_tracked``|``bool``|True|Unknown.|
``smart_ammo_player_targets_must_be_tracked``|``bool``|True|Requires targets to be locked for players to fire the weapon.|
``smart_ammo_points_search_tick_interval``|``int``|False|Unknown.|
``smart_ammo_search_angle``|``float``|True|The angle of the smart ammo search cone. |
``smart_ammo_search_distance``|``float``|True|The range of the smart ammo search cone.|
``smart_ammo_search_enemy_team``|``bool``|True|Unknown.|
``smart_ammo_search_friendly_team``|``bool``|True|Unknown.|
``smart_ammo_search_neutral_team``|``bool``|True|Unknown.|
``smart_ammo_search_npcs``|``bool``|True|Enables/disables smart ammo searching for NPC targets.|
``smart_ammo_search_phase_shift``|``bool``|True|Unknown.|
``smart_ammo_search_players``|``bool``|True|Enables/disables smart ammo searching for player targets.|
``smart_ammo_stick_to_fully_locked_targets``|``bool``|True|Unknown.|
``smart_ammo_target_confirmed_sound``|``string``|True|Sound effect played when a target is fully locked.|
``smart_ammo_target_confirming_sound``|``string``|True|Sound effect played when a lock starts to be acquired.|
``smart_ammo_target_found_sound``|``string``|True|Sound effect played when a new target enters the search cone.|
``smart_ammo_target_lost_sound``|``string``|True|Sound effect played when locks on a target are lost.|
``smart_ammo_target_max_locks_heavy``|``int``|True|The maximum number of locks on a heavily armored target.|
``smart_ammo_target_max_locks_normal``|``int``|True|The maximum number of locks on a non-heavily armored target.|"If unused, acquires locks to deal enough damage to kill the target in a single burst (up to general maximum locks)."
``smart_ammo_target_npc_lock_factor``|``float``|True|Unknown.|
``smart_ammo_targeting_time_max``|``float``|True|The maximum time in seconds it takes to acquire a lock. |
``smart_ammo_targeting_time_max_npc``|``float``|True|The maximum time in seconds it takes to acquire a lock on an NPC.|
``smart_ammo_targeting_time_min``|``float``|True|The minimum time in seconds it takes to acquire a lock.|
``smart_ammo_targeting_time_min_npc``|``float``|True|The minimum time in seconds it takes to acquire a lock on an NPC.|
``smart_ammo_targeting_time_modifier_cloaked``|``float``|True|Scalar on lock on time when locking a cloaked target.|
``smart_ammo_targeting_time_modifier_projectile``|``float``|True|Scalar on lock on time when locking projectiles.|
``smart_ammo_targeting_time_modifier_projectile_owner``|``float``|True|Scalar on lock on time when locking projectiles from the user.|
``smart_ammo_titan_lock_point0``|``string``|False|Unknown.|"Additional values for lock point exist up to ``smart_ammo_titan_lock_point7``."
``smart_ammo_titans_block_los``|``bool``|False|Enables/disables titans blocking LoS for acquiring locks on other targets.|
``smart_ammo_track_cloaked_targets``|``bool``|True|Allows smart ammo to lock on to cloaked targets.|
``smart_ammo_tracked_targets_check_visibility``|``bool``|True|Unknown.|
``smart_ammo_tracker_status_effects``|``bool``|True|Unknown.|
``smart_ammo_unlock_debounce_time``|``float``|True|The time in seconds that locks on targets outside the search cone will be retained for before disappearing.|"Does not prevent locks from being cleared by looking too far away from the target."
``smart_ammo_weapon_type``|``<special>``|True|Determines the type of smart ammo fired.|"If unused, defaults to hitscan bullets. The only other class is ``homing_missile``."
``sound_dryfire``|``string``|True|Sound effect played on offhand weapons when an attempted use or swap fails.|
``sound_pickup``|``string``|True|Sound effect played when picking up the weapon.|
``sound_trigger_pull``|``string``|False|Unknown.|
``sound_weapon_ready``|``string``|True|Sound effect played on offhand weapons when they have reached the next ``ammo_min_to_fire`` multiple.|
``special_3p_attack_anim``|``bool``|False|Enables/disables playing a non-standard animation for an offhand weapon on charge.|
``special_3p_attack_anim_after_charge``|``bool``|False|Enables/disables playing a non-standard animation for an offhand weapon after charge ends.|
``spread_air_ads``|``float``|True|The angle of the shot spread cone while aiming down sights in the air (includes wallrunning).|
``spread_air_hip``|``float``|True|The angle of the shot spread cone while hipfiring in the air (includes wallrunning).|
``spread_crouch_ads``|``float``|True|The angle of the shot spread cone while grounded, aiming down sights, and crouching or sliding.|
``spread_crouch_hip``|``float``|True|The angle of the shot spread cone while grounded, hipfiring, and crouching or sliding|
``spread_decay_delay``|``float``|True|The time in seconds since last shot fired before spread kick begins to decay.|
``spread_decay_rate``|``float``|True|The amount of spread kick regressed per second when decaying.|
``spread_kick_on_fire_air_ads``|``float``|True|The amount spread increases by per shot when aiming down sights in the air (includes wallrunning).|
``spread_kick_on_fire_air_hip``|``float``|True|The amount spread increases by per shot when hipfiring in the air (includes wallrunning).|
``spread_kick_on_fire_crouch_ads``|``float``|True|The amount spread increases by per shot when grounded, aiming down sights, and crouching or sliding.|
``spread_kick_on_fire_crouch_hip``|``float``|True|The amount spread increases by per shot when grounded, hipfiring, and crouching or sliding.|
``spread_kick_on_fire_stand_ads``|``float``|True|The amount spread increases by per shot when grounded, aiming down sights, and standing or sprinting.|
``spread_kick_on_fire_stand_hip``|``float``|True|The amount spread increases by per shot when grounded, hipfiring, and standing or sprinting.|
``spread_lerp_speed``|``float``|True|Unknown.|
``spread_max_kick_air_ads``|``float``|True|The maximum amount of additional spread kick while aiming down sights in the air (includes wallrunning).|
``spread_max_kick_air_hip``|``float``|True|The maximum amount of additional spread kick while hipfiring in the air (includes wallrunning).|
``spread_max_kick_crouch_ads``|``float``|True|The maximum amount of additional spread kick while grounded, aiming down sights, and crouching or sliding.|
``spread_max_kick_crouch_hip``|``float``|True|The maximum amount of additional spread kick while grounded, hipfiring, and crouching or sliding.|
``spread_max_kick_stand_ads``|``float``|True|The maximum amount of additional spread kick while grounded, aiming down sights, and standing or sprinting.|
``spread_max_kick_stand_hip``|``float``|True|The maximum amount of additional spread kick while grounded, hipfiring, and standing or sprinting.|
``spread_stand_ads``|``float``|True|The angle of the shot spread cone while grounded, aiming down sights, and standing or walking.|
``spread_stand_hip``|``float``|True|The angle of the shot spread cone while grounded, hipfiring, standing, and not moving.|
``spread_stand_hip_run``|``float``|True|The angle of the shot spread cone while grounded, hipfiring, standing, and walking.|
``spread_stand_hip_sprint``|``float``|True|The angle of the shot spread cone while grounded, hipfiring, and sprinting.|
``spread_time_to_max``|``float``|True|Unknown.|
``spread_wallhanging``|``float``|True|The angle of the shot spread cone while wallhanging. Optional.|"If unused, ``spread_stand_hip`` is applied instead."
``spread_wallrunning``|``float``|True|The angle of the shot spread cone while wallrunning. Optional.|"If unused, ``spread_air`` values are applied instead."
``sprint_fractional_anims``|``bool``|True|Unknown.|
``sprintcycle_time``|``float``|True|Unknown.|
``stat_accuracy``|``int``|True|The accuracy rating shown on the weapon selection screen in loadout creation.|
``stat_damage``|``int``|True|The damage rating shown on the weapon selection screen in loadout creation.|
``stat_range``|``int``|True|The range rating shown on the weapon selection screen in loadout creation.|
``stat_rof``|``int``|True|The fire rate rating shown on the weapon selection screen in loadout creation.|
``stick_pilot``|``bool``|False|Enables/disables player entities sticking to projectiles fired.|"Includes player-manned titans."
``stick_titan``|``bool``|False|Enables/disables titan entities sticking to projectiles fired.|
``stick_npc``|``bool``|False|Enables/disables npc entities sticking to projectiles fired.|"Includes npc/auto titans."
``sustained_discharge_allow_melee``|``bool``|True|Allows the user to melee in the middle of a sustained discharge.|
``sustained_discharge_duration``|``float``|True|The time in seconds that a sustained discharge lasts.|
``sustained_discharge_pulse_frequency``|``float``|True|The number of attacks made per second during a sustained discharge.|
``sustained_discharge_require_input``|``bool``|True|unknown.|
``sustained_discharge_want_pulse_callbacks``|``bool``|True|unknown.|
``sustained_laser_attachment``|``string``|True|The weapon part to attach the sustained laser effect to.|
``sustained_laser_effect_1p``|``asset``|True|The visual effect shown to the user when the sustained laser attacks.|
``sustained_laser_effect_3p``|``asset``|True|The visual effect shown to others when the sustained laser attacks.|
``sustained_laser_effect_loops``|``bool``|True|Enables/disables looping on the sustained laser effects.|
``sustained_laser_enabled``|``bool``|True|Enables/disables firing the sustained laser on sustained discharge.|
``sustained_laser_impact_distance``|``float``|True|The minimum distance for ``sustained_laser_impact_effect`` to be applied.|
``sustained_laser_impact_effect``|``asset``|True|The visual effect shown where the sustained laser impacts terrain.|
``sustained_laser_impact_effect_loops``|``bool``|True|Enables/disables looping on ``sustained_laser_impact_effect``.|
``sustained_laser_new_surface_impact_effect_table``|``asset``|True|Unknown.|
``sustained_laser_radial_iterations``|``int``|True|The number of radial iterations the sustained laser is composed of.|
